year,month,suburbs,plastic_pieces,plastic_weight_kg,metal_pieces,metal_weight_kg,glass_pieces,glass_weight_kg
2024,5,Dej,292015,11237.374,136926,1997.566,118167,25964.858
2024,5,Cluj-Napoca,3384663,122648.747,1639231,23472.469,1225323,300007.379
2024,5,Florești,469735,17239.932,239611,3433.789,235291,54371.113
2024,5,Gilău,36815,1416.147,17903,259.831,17772,3813.161
2024,5,Turda,503481,17739.223,236142,3294.526,188989,41135.516
2024,5,Gherla,243050,9097.79,133263,1933.46,96630,20990.06
2024,5,Câmpia Turzii,276613,9515.64,117243,1622.61,84615,18376.988
2024,5,Huedin,199745,6312.48,90883,1252.56,71688,14718.815
2024,5,Apahida,219616,7838.766,114700,1639.536,79432,16876.479
2024,5,Baciu,23272,933.849,12861,188.35,8817,2321.741
2024,5,Cluj-Napoca,3776,118.912,2306,30.929,6063,1829.247
2024,5,Codor,443,14.57,69,0.775,1521,277.834
2024,5,Căşeiu,5174,182.943,2618,38.457,2853,580.071
2024,5,Jucu de Sus,2406,75.397,1220,17.512,422,85.478
2024,5,Mociu,7013,243.796,3488,50.83,1467,273.627
2024,5,Bonțida,3913,144.399,1232,16.296,2079,427.279
2024,5,Feleacu,6446,267.35,207,2.987,427,149.473
2024,5,Iara,21499,699.565,7577,112.297,7583,1516.864
2024,5,Moldoveneşti,4662,149.021,2808,35.146,1005,210.026
2024,5,Aiton,505,21.084,38,0.372,874,287.803
2024,5,Ciucea,5973,155.63,504,7.76,3823,868.689
2024,5,Valea Ierii,1133,28.039,246,3.741,428,81.609
2024,5,Ceanu Mare,1213,36.811,132,1.472,193,44.027
2024,5,Răscruci,6183,214.323,3063,43.925,1608,302.31
2024,5,Chinteni,6476,260.122,3915,57.75,2419,488.374
2024,5,Frata,9515,277.8,2666,38.845,2035,432.741
2024,5,Mihai Viteazu,6993,253.563,3988,59.618,2036,406.14
2024,5,Suatu,944,31.959,93,1.001,567,100.815
2024,5,Dezmir,1326,51.202,2272,34.346,969,187.04
2024,5,Panticeu,7548,275.516,3112,44.72,1363,280.965
2024,5,Iclod,3405,110.695,2129,31.535,95,20.01
2024,5,Rădaia,2026,194.135,23,0.235,2458,599.65
2024,5,Negreni,660,15.986,50,0.543,1754,324.692
2024,5,Călăţele,647,18.167,417,5.92,407,78.235
2024,5,Miceşti,244,9.639,1,0.011,156,37.35
2024,5,Ploscoş,6513,176.097,2178,30.211,1548,336.48
2024,5,Poieni,1227,30.129,542,7.462,259,58.009
2024,5,Someşu Rece,1178,46.299,640,9.194,690,141.836
2024,5,Luna,2783,89.108,985,13.86,1126,235.547
2024,5,Gădălin,419,17.292,409,5.431,612,139.049
2024,5,Bucea,1212,116.869,391,5.219,505,98.231
2024,5,Ciurila,982,21.687,0,0,876,283.321
2024,5,Bunești,180,4.315,19,0.177,1608,540.636
2024,5,Mărişel,443,19.722,45,0.496,239,57.037
2024,5,Copăceni,0,0,0,0,623,139.505
2024,5,Țaga,820,36.208,431,5.922,232,48.003
2024,5,Mica,2102,106.446,1122,16.74,410,86.817
2024,5,Moldovenești,1303,40.539,622,9.131,328,63.473
2024,5,Aghireșu,3079,111.533,1936,29.101,24,4.41
2024,5,Valea Drăganului,2786,66.169,1149,16.956,0,0
2024,5,Lunca Vişagului,691,43.208,0,0,0,0
2024,5,Geaca,5606,186.054,3112,46.633,21,4.176
2024,5,Cheia,567,12.456,45,0.491,0,0
2024,5,Hodişu,1124,43.906,106,1.155,226,51.65
2024,5,Cășeiu,237,6.49,16,0.181,0,0
2024,5,Tritenii de Jos,890,33.634,594,7.633,162,34.243
2024,5,Jucu,679,26.366,1,0.013,0,0
2024,6,Aghireșu,3095,103,1917,27,863,208
2024,6,Aiton,4492,149,774,11,5473,1319
2024,6,Apahida,302112,10008,150997,2136,109854,26481
2024,6,Baciu,41720,1382,24604,348,20381,4913
2024,6,Băișoara,900,30,23,0,170,41
2024,6,Bonțida,16297,540,7203,102,7240,1745
2024,6,Călățele,876,29,231,3,392,94
2024,6,Câmpia Turzii,366965,12156,170868,2417,120940,29154
2024,6,Căpușu Mare,1756,58,654,9,7,2
2024,6,Cășeiu,7550,250,4306,61,3490,841
2024,6,Ceanu Mare,1298,43,122,2,477,115
2024,6,Chinteni,7059,234,4752,67,3194,770
2024,6,Ciucea,9923,329,3975,56,12800,3086
2024,6,Ciurila,1110,37,185,3,922,222
2024,6,Cluj-Napoca,4355425,144278,2167659,30660,1688802,407104
2024,6,Cojocna,7247,240,3415,48,5880,1417
2024,6,Dej,370420,12271,178381,2523,168274,40564
2024,6,Feleacu,19402,643,6401,91,13645,3289
2024,6,Fizeșu Gherlii,924,31,247,3,348,84
2024,6,Florești,636159,21073,331463,4688,289181,69710
2024,6,Frata,9396,311,3382,48,2511,605
2024,6,Gârbău,508,17,470,7,575,139
2024,6,Geaca,3953,131,2433,34,1561,376
2024,6,Gherla,302647,10025,168491,2383,126411,30473
2024,6,Gilău,35144,1164,17041,241,18531,4467
2024,6,Huedin,263581,8731,126145,1784,94622,22810
2024,6,Iara,31511,1044,12038,170,16917,4078
2024,6,Iclod,7209,239,2852,40,971,234
2024,6,Jichișu de Jos,287,10,242,3,1191,287
2024,6,Jucu,5919,196,1964,28,958,231
2024,6,Luna,4360,144,2178,31,1921,463
2024,6,Măguri-Răcătău,243,8,161,2,166,40
2024,6,Mica,4237,140,1950,28,2806,676
2024,6,Mihai Viteazu,20737,687,10536,149,10959,2642
2024,6,Mintiu Gherlii,820,27,226,3,2327,561
2024,6,Mociu,9137,303,5039,71,3961,955
2024,6,Moldovenești,6525,216,3330,47,2177,525
2024,6,Negreni,4474,148,1682,24,3485,840
2024,6,Panticeu,9429,312,4182,59,5257,1267
2024,6,Petreștii de Jos,117,4,77,1,419,101
2024,6,Ploscoș,7715,256,3615,51,2308,556
2024,6,Poieni,5103,169,1489,21,1585,382
2024,6,Sânpaul,402,13,210,3,0,0
2024,6,Suatu,629,21,388,5,2684,647
2024,6,Țaga,933,31,640,9,4,1
2024,6,Tritenii de Jos,363,12,512,7,132,32
2024,6,Turda,713174,23625,360421,5098,273912,66029
2024,6,Tureni,2682,89,827,12,2106,508
2024,6,Valea Ierii,687,23,234,3,825,199
